ride_id,travel_date,travel_time,travel_from,car_type,max_capacity,number_of_tickets
5898,27-11-17,6:30,Keroka,shuttle,11,1.0
5899,27-11-17,6:30,Keumbu,shuttle,11,1.0
5901,27-11-17,7:15,Migori,Bus,49,11.0
5902,27-11-17,7:04,Homa Bay,Bus,49,5.0
5910,12-04-18,5:10,Kisii,shuttle,11,11.0
5918,12-04-18,7:08,Kisii,Bus,49,1.0
5919,12-04-18,8:00,Kisii,Bus,49,1.0
5920,12-04-18,7:06,Kisii,Bus,49,1.0
5921,12-04-18,7:14,Kisii,Bus,49,1.0
5922,12-04-18,9:50,Kisii,shuttle,11,1.0
5923,12-04-18,7:30,Kisii,shuttle,11,1.0
5924,12-04-18,10:57,Kisii,shuttle,11,1.0
5925,12-04-18,5:30,Kisii,shuttle,11,1.0
5928,11-04-18,5:20,Kisii,shuttle,11,1.0
5929,11-04-18,5:10,Kisii,shuttle,11,8.0
5931,11-04-18,5:00,Kisii,shuttle,11,1.0
5933,28-11-17,8:30,Keroka,shuttle,11,1.0
5940,11-04-18,7:02,Kisii,Bus,49,1.0
5941,11-04-18,9:50,Kisii,shuttle,11,3.0
5942,11-04-18,11:01,Kisii,shuttle,11,1.0
5943,11-04-18,6:30,Kisii,shuttle,11,1.0
5944,11-04-18,7:11,Kisii,Bus,49,1.0
5945,11-04-18,10:58,Kisii,shuttle,11,1.0
5946,11-04-18,5:30,Kisii,shuttle,11,1.0
5947,28-11-17,7:12,Migori,Bus,49,11.0
5950,28-11-17,7:09,Homa Bay,Bus,49,10.0
5951,10-04-18,5:10,Kisii,shuttle,11,6.0
5953,10-04-18,5:00,Kisii,shuttle,11,1.0
5957,10-04-18,7:06,Kisii,Bus,49,6.0
5958,10-04-18,6:40,Kisii,shuttle,11,1.0
5937,28-11-17,7:06,Keroka,Bus,49,1.0
5959,10-04-18,5:40,Kisii,shuttle,11,1.0
5960,10-04-18,6:00,Kisii,shuttle,11,1.0
5961,10-04-18,5:30,Kisii,shuttle,11,1.0
5964,09-04-18,5:10,Kisii,shuttle,11,2.0
5965,09-04-18,5:00,Kisii,shuttle,11,1.0
5969,09-04-18,7:06,Kisii,Bus,49,2.0
5971,09-04-18,19:03,Kisii,Bus,49,1.0
5972,09-04-18,6:30,Kisii,shuttle,11,2.0
5973,09-04-18,5:30,Kisii,shuttle,11,1.0
5976,08-04-18,5:10,Kisii,shuttle,11,2.0
5982,08-04-18,7:06,Kisii,Bus,49,4.0
5983,08-04-18,9:10,Kisii,shuttle,11,1.0
5984,08-04-18,7:03,Kisii,Bus,49,1.0
5985,08-04-18,5:30,Kisii,shuttle,11,1.0
5986,08-04-18,7:04,Kisii,Bus,49,1.0
5988,28-11-17,7:08,Migori,Bus,49,3.0
5993,07-04-18,7:06,Kisii,Bus,49,1.0
5994,07-04-18,6:58,Kisii,shuttle,11,1.0
5995,07-04-18,6:40,Kisii,shuttle,11,1.0
5996,07-04-18,6:30,Kisii,shuttle,11,2.0
5997,07-04-18,11:05,Kisii,shuttle,11,1.0
5998,28-11-17,10:20,Keroka,shuttle,11,1.0
6000,07-04-18,5:30,Kisii,shuttle,11,1.0
6003,06-04-18,5:10,Kisii,shuttle,11,5.0
6008,06-04-18,7:06,Kisii,Bus,49,2.0
6009,06-04-18,5:50,Kisii,shuttle,11,1.0
6010,06-04-18,5:30,Kisii,shuttle,11,1.0
6013,05-04-18,5:00,Kisii,shuttle,11,1.0
6015,05-04-18,5:10,Kisii,shuttle,11,8.0
6019,05-04-18,7:07,Kisii,Bus,49,2.0
6020,05-04-18,7:06,Kisii,Bus,49,1.0
6021,05-04-18,19:05,Kisii,Bus,49,1.0
6022,05-04-18,5:30,Kisii,shuttle,11,1.0
6029,04-04-18,7:08,Kisii,Bus,49,1.0
6030,04-04-18,7:06,Kisii,Bus,49,1.0
6031,04-04-18,6:00,Kisii,shuttle,11,1.0
6032,04-04-18,5:30,Kisii,shuttle,11,1.0
6037,03-04-18,7:06,Kisii,Bus,49,1.0
6038,03-04-18,7:07,Kisii,Bus,49,1.0
6039,03-04-18,10:53,Kisii,shuttle,11,1.0
6040,03-04-18,5:40,Kisii,shuttle,11,1.0
6041,03-04-18,7:20,Kisii,shuttle,11,1.0
6042,03-04-18,5:30,Kisii,shuttle,11,1.0
6045,02-04-18,5:00,Kisii,shuttle,11,1.0
6049,02-04-18,7:06,Kisii,Bus,49,2.0
6050,02-04-18,7:12,Kisii,Bus,49,1.0
6051,02-04-18,5:30,Kisii,shuttle,11,1.0
6055,28-11-17,7:04,Homa Bay,Bus,49,4.0
6058,01-04-18,7:06,Kisii,Bus,49,1.0
6059,01-04-18,9:50,Kisii,shuttle,11,2.0
6060,01-04-18,5:30,Kisii,shuttle,11,1.0
6065,31-03-18,7:04,Kisii,Bus,49,1.0
6066,31-03-18,7:06,Kisii,Bus,49,1.0
6067,31-03-18,10:00,Kisii,shuttle,11,1.0
6068,31-03-18,8:50,Kisii,shuttle,11,1.0
6069,31-03-18,10:51,Kisii,shuttle,11,1.0
6070,31-03-18,5:30,Kisii,shuttle,11,1.0
6073,30-03-18,5:00,Kisii,shuttle,11,1.0
6080,30-03-18,7:02,Kisii,Bus,49,1.0
6081,30-03-18,10:54,Kisii,shuttle,11,1.0
6082,30-03-18,5:40,Kisii,shuttle,11,1.0
6083,30-03-18,10:20,Kisii,shuttle,11,1.0
6084,30-03-18,5:30,Kisii,shuttle,11,1.0
6085,30-03-18,10:50,Kisii,shuttle,11,1.0
6088,29-03-18,5:00,Kisii,shuttle,11,2.0
6089,29-03-18,5:10,Kisii,shuttle,11,1.0
6095,29-03-18,7:06,Kisii,Bus,49,2.0
6096,29-03-18,9:50,Kisii,shuttle,11,1.0
6097,29-03-18,5:30,Kisii,shuttle,11,2.0
6099,29-03-18,7:01,Kisii,Bus,49,1.0
6105,28-03-18,5:10,Kisii,shuttle,11,1.0
6106,28-03-18,5:00,Kisii,shuttle,11,1.0
6112,28-03-18,7:06,Kisii,Bus,49,2.0
6113,28-03-18,10:20,Kisii,shuttle,11,1.0
6114,28-03-18,8:50,Kisii,shuttle,11,1.0
6115,28-03-18,6:40,Kisii,shuttle,11,1.0
6116,28-03-18,7:00,Kisii,shuttle,11,1.0
6117,28-03-18,5:30,Kisii,shuttle,11,1.0
6122,27-03-18,5:00,Kisii,shuttle,11,1.0
6127,27-03-18,7:06,Kisii,Bus,49,2.0
6128,27-03-18,7:02,Kisii,Bus,49,1.0
6129,27-03-18,6:50,Kisii,shuttle,11,1.0
6130,27-03-18,7:07,Kisii,Bus,49,1.0
6131,27-03-18,6:10,Kisii,shuttle,11,1.0
6132,29-11-17,5:30,Keroka,shuttle,11,1.0
6133,27-03-18,5:30,Kisii,shuttle,11,1.0
6134,27-03-18,6:20,Kisii,shuttle,11,4.0
6139,26-03-18,5:00,Kisii,shuttle,11,2.0
6143,26-03-18,19:03,Kisii,Bus,49,1.0
6144,26-03-18,7:06,Kisii,Bus,49,2.0
6145,26-03-18,6:10,Kisii,shuttle,11,1.0
6146,26-03-18,6:40,Kisii,shuttle,11,1.0
6147,26-03-18,7:30,Kisii,shuttle,11,1.0
6148,26-03-18,5:30,Kisii,shuttle,11,1.0
6149,26-03-18,6:00,Kisii,shuttle,11,1.0
6154,25-03-18,5:00,Kisii,shuttle,11,5.0
6162,25-03-18,7:06,Kisii,Bus,49,3.0
6163,25-03-18,6:40,Kisii,shuttle,11,1.0
6164,25-03-18,8:50,Kisii,shuttle,11,1.0
6165,25-03-18,10:54,Kisii,shuttle,11,1.0
6166,25-03-18,10:10,Kisii,shuttle,11,1.0
6167,25-03-18,11:02,Kisii,shuttle,11,1.0
6168,25-03-18,7:20,Kisii,shuttle,11,1.0
6169,25-03-18,5:30,Kisii,shuttle,11,1.0
6171,24-03-18,5:00,Kisii,shuttle,11,1.0
6176,24-03-18,7:06,Kisii,Bus,49,2.0
6177,24-03-18,8:00,Kisii,Bus,49,2.0
6153,29-11-17,7:05,Rongo,Bus,49,4.0
6178,24-03-18,9:40,Kisii,shuttle,11,1.0
6179,24-03-18,8:20,Kisii,shuttle,11,1.0
6180,24-03-18,5:30,Kisii,shuttle,11,1.0
6183,23-03-18,5:10,Kisii,shuttle,11,1.0
6187,23-03-18,19:05,Kisii,Bus,49,1.0
6188,23-03-18,8:00,Kisii,Bus,49,1.0
6189,23-03-18,7:04,Kisii,Bus,49,3.0
6190,23-03-18,5:50,Kisii,shuttle,11,1.0
6191,23-03-18,6:58,Kisii,shuttle,11,1.0
6193,23-03-18,8:30,Kisii,shuttle,11,1.0
6194,23-03-18,7:07,Kisii,Bus,49,1.0
6195,23-03-18,5:30,Kisii,shuttle,11,1.0
6199,22-03-18,5:10,Kisii,shuttle,11,2.0
6200,22-03-18,5:00,Kisii,shuttle,11,1.0
6206,22-03-18,7:06,Kisii,Bus,49,5.0
6207,22-03-18,9:10,Kisii,shuttle,11,4.0
6208,22-03-18,6:00,Kisii,shuttle,11,2.0
6209,22-03-18,5:40,Kisii,shuttle,11,1.0
6210,22-03-18,6:10,Kisii,shuttle,11,3.0
6211,22-03-18,5:30,Kisii,shuttle,11,1.0
6212,22-03-18,6:40,Kisii,shuttle,11,1.0
6221,21-03-18,6:40,Kisii,shuttle,11,1.0
6222,21-03-18,7:06,Kisii,Bus,49,6.0
6120,29-11-17,7:14,Rongo,Bus,49,1.0
6223,21-03-18,7:04,Kisii,Bus,49,1.0
6224,21-03-18,5:30,Kisii,shuttle,11,1.0
6215,21-03-18,5:10,Kisii,shuttle,11,1.0
6226,20-03-18,5:10,Kisii,shuttle,11,3.0
6126,29-11-17,7:04,Rongo,Bus,49,1.0
6231,20-03-18,9:30,Kisii,shuttle,11,1.0
6232,20-03-18,8:20,Kisii,shuttle,11,1.0
6233,20-03-18,7:12,Kisii,Bus,49,1.0
6234,20-03-18,8:50,Kisii,shuttle,11,1.0
6235,20-03-18,7:06,Kisii,Bus,49,1.0
6236,20-03-18,7:50,Kisii,shuttle,11,1.0
6237,20-03-18,7:15,Kisii,Bus,49,1.0
6238,20-03-18,5:30,Kisii,shuttle,11,1.0
6239,20-03-18,7:08,Kisii,Bus,49,1.0
6242,19-03-18,5:10,Kisii,shuttle,11,1.0
6245,29-11-17,7:04,Homa Bay,Bus,49,11.0
6135,29-11-17,7:12,Migori,Bus,49,6.0
6251,19-03-18,7:06,Kisii,Bus,49,2.0
6252,19-03-18,5:40,Kisii,shuttle,11,1.0
6253,19-03-18,7:07,Kisii,Bus,49,1.0
6254,19-03-18,5:50,Kisii,shuttle,11,1.0
6255,19-03-18,5:30,Kisii,shuttle,11,1.0
6261,29-11-17,7:08,Migori,Bus,49,1.0
6262,18-03-18,5:00,Kisii,shuttle,11,1.0
6202,29-11-17,7:15,Migori,Bus,49,8.0
6267,18-03-18,7:06,Kisii,Bus,49,2.0
6268,18-03-18,10:51,Kisii,shuttle,11,2.0
6269,18-03-18,5:30,Kisii,shuttle,11,2.0
6243,29-11-17,7:06,Keroka,Bus,49,1.0
6138,29-11-17,7:09,Homa Bay,Bus,49,5.0
6277,17-03-18,7:06,Kisii,Bus,49,3.0
6278,17-03-18,9:10,Kisii,shuttle,11,1.0
6279,17-03-18,7:04,Kisii,Bus,49,1.0
6280,17-03-18,5:40,Kisii,shuttle,11,1.0
6281,17-03-18,5:30,Kisii,shuttle,11,1.0
6282,17-03-18,5:20,Kisii,shuttle,11,1.0
6301,16-03-18,5:50,Kisii,shuttle,11,1.0
6302,16-03-18,7:07,Kisii,Bus,49,24.0
6303,16-03-18,10:56,Kisii,shuttle,11,5.0
6305,16-03-18,10:57,Kisii,shuttle,11,1.0
6306,16-03-18,10:55,Kisii,shuttle,11,9.0
6315,16-03-18,10:54,Kisii,shuttle,11,10.0
6316,16-03-18,10:53,Kisii,shuttle,11,8.0
6317,16-03-18,10:52,Kisii,shuttle,11,8.0
6319,16-03-18,10:51,Kisii,shuttle,11,9.0
6314,30-11-17,7:08,Rongo,Bus,49,2.0
6321,30-11-17,6:30,Keumbu,shuttle,11,1.0
6324,16-03-18,10:50,Kisii,shuttle,11,7.0
6325,16-03-18,7:06,Kisii,Bus,49,6.0
6310,30-11-17,7:15,Migori,Bus,49,2.0
6311,30-11-17,7:12,Migori,Bus,49,1.0
6327,16-03-18,10:40,Kisii,shuttle,11,8.0
6330,16-03-18,10:30,Kisii,shuttle,11,8.0
6335,16-03-18,10:20,Kisii,shuttle,11,10.0
6338,16-03-18,10:10,Kisii,shuttle,11,3.0
6340,16-03-18,9:20,Kisii,shuttle,11,10.0
6342,16-03-18,9:30,Kisii,shuttle,11,5.0
6343,16-03-18,9:10,Kisii,shuttle,11,6.0
6346,16-03-18,9:00,Kisii,shuttle,11,4.0
6345,01-12-17,7:00,Rongo,Bus,49,1.0
6347,01-12-17,7:05,Rongo,Bus,49,5.0
6348,16-03-18,8:50,Kisii,shuttle,11,5.0
6349,16-03-18,8:40,Kisii,shuttle,11,9.0
6350,16-03-18,8:30,Kisii,shuttle,11,9.0
6339,01-12-17,7:09,Rongo,Bus,49,1.0
6351,16-03-18,8:20,Kisii,shuttle,11,6.0
6352,16-03-18,8:10,Kisii,shuttle,11,10.0
6354,16-03-18,8:00,Kisii,shuttle,11,10.0
6355,16-03-18,7:50,Kisii,shuttle,11,10.0
6356,01-12-17,7:08,Rongo,Bus,49,3.0
6357,16-03-18,7:40,Kisii,shuttle,11,6.0
6358,16-03-18,7:02,Kisii,Bus,49,11.0
6337,01-12-17,7:12,Migori,Bus,49,1.0
6360,16-03-18,7:03,Kisii,Bus,49,11.0
6361,16-03-18,7:30,Kisii,shuttle,11,7.0
6364,16-03-18,7:20,Kisii,shuttle,11,10.0
6344,01-12-17,7:14,Rongo,Bus,49,1.0
6366,16-03-18,7:15,Kisii,Bus,49,11.0
6367,16-03-18,6:58,Kisii,shuttle,11,10.0
6368,16-03-18,7:00,Kisii,shuttle,11,11.0
6370,01-12-17,6:50,Keroka,shuttle,11,10.0
6371,16-03-18,6:50,Kisii,shuttle,11,9.0
6372,16-03-18,7:05,Kisii,Bus,49,2.0
6373,16-03-18,6:40,Kisii,shuttle,11,4.0
6375,16-03-18,5:40,Kisii,shuttle,11,1.0
6378,01-12-17,6:40,Keroka,shuttle,11,11.0
6381,01-12-17,6:30,Keroka,shuttle,11,10.0
6384,15-03-18,7:06,Kisii,Bus,49,22.0
6385,15-03-18,8:00,Kisii,shuttle,11,8.0
6386,15-03-18,9:40,Kisii,shuttle,11,1.0
6387,15-03-18,9:00,Kisii,shuttle,11,7.0
6388,01-12-17,6:20,Keroka,shuttle,11,9.0
6389,15-03-18,7:07,Kisii,Bus,49,8.0
6390,01-12-17,6:10,Keroka,shuttle,11,11.0
6391,15-03-18,8:50,Kisii,shuttle,11,9.0
6392,01-12-17,6:00,Keroka,shuttle,11,11.0
6393,15-03-18,8:20,Kisii,shuttle,11,2.0
6394,15-03-18,8:40,Kisii,shuttle,11,11.0
6395,01-12-17,5:50,Keroka,shuttle,11,11.0
6396,01-12-17,5:40,Keroka,shuttle,11,11.0
6397,15-03-18,8:30,Kisii,shuttle,11,10.0
6398,01-12-17,5:30,Keroka,shuttle,11,11.0
6399,15-03-18,5:50,Kisii,shuttle,11,1.0
6400,15-03-18,8:10,Kisii,shuttle,11,1.0
6401,15-03-18,7:50,Kisii,shuttle,11,8.0
6402,15-03-18,7:40,Kisii,shuttle,11,6.0
6403,01-12-17,10:58,Keroka,shuttle,11,11.0
6404,15-03-18,7:30,Kisii,shuttle,11,10.0
6405,15-03-18,7:20,Kisii,shuttle,11,9.0
6406,15-03-18,6:58,Kisii,shuttle,11,10.0
6407,15-03-18,7:00,Kisii,shuttle,11,7.0
6408,15-03-18,6:50,Kisii,shuttle,11,8.0
6409,15-03-18,7:01,Kisii,Bus,49,15.0
6414,01-12-17,5:00,Keumbu,shuttle,11,1.0
6420,15-03-18,6:40,Kisii,shuttle,11,10.0
6422,02-12-17,7:06,Keroka,Bus,49,3.0
6423,02-12-17,7:00,Rongo,Bus,49,9.0
6424,02-12-17,7:05,Rongo,Bus,49,3.0
6425,15-03-18,6:30,Kisii,shuttle,11,10.0
6426,15-03-18,7:05,Kisii,Bus,49,6.0
6428,15-03-18,6:20,Kisii,shuttle,11,6.0
6435,15-03-18,6:10,Kisii,shuttle,11,5.0
6436,15-03-18,7:03,Kisii,Bus,49,1.0
6440,02-12-17,5:20,Keumbu,shuttle,11,1.0
6434,02-12-17,7:14,Rongo,Bus,49,3.0
6447,15-03-18,5:30,Kisii,shuttle,11,1.0
6449,14-03-18,5:20,Kisii,shuttle,11,1.0
6453,14-03-18,8:30,Kisii,shuttle,11,3.0
6454,14-03-18,8:20,Kisii,shuttle,11,9.0
6455,14-03-18,8:10,Kisii,shuttle,11,10.0
6456,14-03-18,7:06,Kisii,Bus,49,11.0
6459,14-03-18,8:00,Kisii,shuttle,11,9.0
6461,14-03-18,7:50,Kisii,shuttle,11,11.0
6464,14-03-18,7:40,Kisii,shuttle,11,11.0
6465,14-03-18,6:00,Kisii,shuttle,11,1.0
6466,14-03-18,7:30,Kisii,shuttle,11,3.0
6468,14-03-18,5:50,Kisii,shuttle,11,11.0
6471,14-03-18,5:40,Kisii,shuttle,11,1.0
6472,14-03-18,5:30,Kisii,shuttle,11,1.0
6477,13-03-18,5:00,Kisii,shuttle,11,1.0
6485,13-03-18,7:06,Kisii,Bus,49,5.0
6486,13-03-18,10:51,Kisii,shuttle,11,1.0
6487,13-03-18,10:50,Kisii,shuttle,11,9.0
6488,13-03-18,10:40,Kisii,shuttle,11,10.0
6490,13-03-18,10:30,Kisii,shuttle,11,8.0
6491,13-03-18,10:20,Kisii,shuttle,11,10.0
6492,03-12-17,7:09,Rongo,Bus,49,1.0
6493,13-03-18,10:10,Kisii,shuttle,11,11.0
6470,03-12-17,7:14,Rongo,Bus,49,3.0
6494,13-03-18,10:00,Kisii,shuttle,11,3.0
6495,13-03-18,9:50,Kisii,shuttle,11,6.0
6496,13-03-18,9:40,Kisii,shuttle,11,6.0
6497,13-03-18,9:30,Kisii,shuttle,11,8.0
6498,13-03-18,9:20,Kisii,shuttle,11,8.0
6499,13-03-18,9:10,Kisii,shuttle,11,11.0
6500,13-03-18,9:00,Kisii,shuttle,11,10.0
6501,13-03-18,8:50,Kisii,shuttle,11,4.0
6504,13-03-18,8:40,Kisii,shuttle,11,9.0
6507,13-03-18,8:20,Kisii,shuttle,11,10.0
6508,13-03-18,8:30,Kisii,shuttle,11,8.0
6509,13-03-18,7:03,Kisii,Bus,49,17.0
6512,03-12-17,6:30,Keroka,shuttle,11,2.0
6518,03-12-17,5:30,Keumbu,shuttle,11,1.0
6476,03-12-17,7:06,Keroka,Bus,49,1.0
6520,03-12-17,5:10,Keumbu,shuttle,11,1.0
6522,13-03-18,8:10,Kisii,shuttle,11,10.0
6527,13-03-18,8:00,Kisii,shuttle,11,10.0
6529,04-12-17,7:04,Rongo,Bus,49,3.0
6530,13-03-18,7:50,Kisii,shuttle,11,8.0
6531,04-12-17,7:13,Rongo,Bus,49,3.0
6532,04-12-17,7:09,Homa Bay,Bus,49,25.0
6533,13-03-18,7:40,Kisii,shuttle,11,8.0
6534,13-03-18,7:01,Kisii,Bus,49,5.0
6535,04-12-17,7:12,Migori,Bus,49,15.0
6536,13-03-18,7:30,Kisii,shuttle,11,11.0
6537,04-12-17,7:04,Homa Bay,Bus,49,1.0
6538,04-12-17,7:10,Homa Bay,Bus,49,1.0
6539,04-12-17,7:05,Rongo,Bus,49,5.0
6540,04-12-17,7:14,Rongo,Bus,49,11.0
6541,13-03-18,7:20,Kisii,shuttle,11,7.0
6542,13-03-18,7:08,Kisii,Bus,49,5.0
6543,13-03-18,6:58,Kisii,shuttle,11,8.0
6544,13-03-18,7:00,Kisii,shuttle,11,11.0
6545,13-03-18,6:50,Kisii,shuttle,11,8.0
6546,13-03-18,6:40,Kisii,shuttle,11,7.0
6547,13-03-18,5:30,Kisii,shuttle,11,1.0
6550,12-03-18,5:20,Kisii,shuttle,11,1.0
6557,12-03-18,7:06,Kisii,Bus,49,12.0
6558,12-03-18,8:20,Kisii,shuttle,11,10.0
6559,12-03-18,9:20,Kisii,shuttle,11,3.0
6560,04-12-17,7:07,Kijauri,Bus,49,3.0
6561,12-03-18,6:20,Kisii,shuttle,11,11.0
6562,12-03-18,9:10,Kisii,shuttle,11,1.0
6563,12-03-18,8:10,Kisii,shuttle,11,8.0
6564,12-03-18,7:30,Kisii,shuttle,11,8.0
6565,12-03-18,8:50,Kisii,shuttle,11,4.0
6566,12-03-18,8:40,Kisii,shuttle,11,8.0
6567,12-03-18,8:30,Kisii,shuttle,11,11.0
6568,04-12-17,7:00,Kijauri,shuttle,11,5.0
6569,12-03-18,8:00,Kisii,shuttle,11,11.0
6570,04-12-17,7:06,Kijauri,Bus,49,1.0
6571,12-03-18,7:50,Kisii,shuttle,11,9.0
6572,12-03-18,7:40,Kisii,shuttle,11,11.0
6573,12-03-18,6:58,Kisii,shuttle,11,6.0
6574,04-12-17,5:00,Keroka,shuttle,11,4.0
6575,12-03-18,19:04,Kisii,Bus,49,31.0
6576,04-12-17,7:11,Homa Bay,Bus,49,1.0
6577,04-12-17,6:20,Kijauri,shuttle,11,1.0
6580,04-12-17,5:00,Keumbu,shuttle,11,1.0
6585,12-03-18,7:00,Kisii,shuttle,11,8.0
6591,12-03-18,6:50,Kisii,shuttle,11,8.0
6592,12-03-18,7:03,Kisii,Bus,49,4.0
6593,12-03-18,6:40,Kisii,shuttle,11,7.0
6594,05-12-17,7:05,Rongo,Bus,49,5.0
6595,12-03-18,6:59,Kisii,Bus,49,2.0
6596,05-12-17,7:00,Rongo,Bus,49,6.0
6597,05-12-17,7:08,Migori,Bus,49,2.0
6598,05-12-17,7:12,Migori,Bus,49,25.0
6599,05-12-17,7:09,Homa Bay,Bus,49,27.0
6600,05-12-17,7:04,Rongo,Bus,49,10.0
6601,12-03-18,6:30,Kisii,shuttle,11,11.0
6602,05-12-17,7:02,Oyugis,Bus,49,1.0
6603,05-12-17,7:14,Rongo,Bus,49,21.0
6604,12-03-18,7:15,Kisii,Bus,49,5.0
6605,12-03-18,7:05,Kisii,Bus,49,3.0
6606,05-12-17,7:06,Keroka,Bus,49,6.0
6607,12-03-18,6:10,Kisii,shuttle,11,7.0
6608,12-03-18,5:50,Kisii,shuttle,11,1.0
6609,12-03-18,5:30,Kisii,shuttle,11,1.0
6612,05-12-17,7:10,Homa Bay,Bus,49,8.0
6613,11-03-18,5:20,Kisii,shuttle,11,6.0
6614,11-03-18,5:00,Kisii,shuttle,11,2.0
6618,05-12-17,7:15,Migori,Bus,49,21.0
6621,11-03-18,7:04,Kisii,Bus,49,1.0
6622,11-03-18,7:06,Kisii,Bus,49,24.0
6623,11-03-18,7:14,Kisii,Bus,49,1.0
6624,11-03-18,11:00,Kisii,shuttle,11,1.0
6625,11-03-18,10:58,Kisii,shuttle,11,4.0
6626,05-12-17,7:09,Rongo,Bus,49,4.0
6627,11-03-18,10:57,Kisii,shuttle,11,6.0
6628,11-03-18,10:56,Kisii,shuttle,11,10.0
6629,11-03-18,10:55,Kisii,shuttle,11,7.0
6630,11-03-18,10:54,Kisii,shuttle,11,11.0
6631,11-03-18,10:53,Kisii,shuttle,11,10.0
6632,11-03-18,10:52,Kisii,shuttle,11,9.0
6633,11-03-18,10:51,Kisii,shuttle,11,11.0
6634,11-03-18,10:50,Kisii,shuttle,11,8.0
6635,11-03-18,10:40,Kisii,shuttle,11,11.0
